param numvoxels := 37 ;
param: VOXELS: thethreshold :=
0  10.0
 1  10.0
 2  10.0
 3  10.0
 4  10.0
 5  10.0
 6  10.0
 7  10.0
 8  10.0
 9  10.0
10  70.0
11  70.0
12  20.0
13  10.0
14  10.0
15  10.0
16  10.0
17  70.0
18  20.0
19  15.0
20  15.0
21  10.0
22  10.0
23  10.0
24  70.0
25  70.0
26  20.0
27  10.0
28  10.0
29  10.0
30  10.0
31  10.0
32  10.0
33  10.0
34  10.0
35  10.0
36  10.0
;
param: quadHelperOver :=
0  0.001
 1  0.001
 2  0.001
 3  0.001
 4  0.001
 5  0.001
 6  0.001
 7  0.001
 8  0.001
 9  0.001
10  0.001
11  0.001
12  0.001
13  0.001
14  0.001
15  0.001
16  0.001
17  0.001
18  0.001
19  0.001
20  0.001
21  0.001
22  0.001
23  0.001
24  0.001
25  0.001
26  0.001
27  0.001
28  0.001
29  0.001
30  0.001
31  0.001
32  0.001
33  0.001
34  0.001
35  0.001
36  0.001
;
param: quadHelperUnder :=
0  0.05
 1  0.05
 2  0.05
 3  0.05
 4  0.05
 5  0.05
 6  0.05
 7  0.05
 8  0.05
 9  0.05
10  0.06
11  0.06
12  0.05
13  0.05
14  0.05
15  0.05
16  0.05
17  0.06
18  0.05
19  0.05
20  0.05
21  0.05
22  0.05
23  0.05
24  0.06
25  0.06
26  0.05
27  0.05
28  0.05
29  0.05
30  0.05
31  0.05
32  0.05
33  0.05
34  0.05
35  0.05
36  0.05
;
param: KNJPARAMETERS: D:=
32    0   0  0.000085
32    0   3  0.000193
32    0   4  0.000121
32    0   9  0.000156
32    0  10  0.000096
32    0  16  0.000065
32    0  17  0.000074
32    0  24  0.000058
32    0  30  0.000046
33    0   0  0.000114
33    0   3  0.000112
33    0   4  0.000194
33    0   9  0.000118
33    0  10  0.000160
33    0  16  0.000118
33    0  17  0.000128
33    0  23  0.000114
33    0  24  0.000100
33    0  29  0.000097
33    0  30  0.000079
33    0  34  0.000063
34    0   0  0.000098
34    0   3  0.000068
34    0   9  0.000068
34    0  16  0.000069
34    0  23  0.000066
34    0  29  0.000064
35    0   0  0.002578
35    0   3  0.000068
35    0   4  0.003680
35    0   9  0.000058
35    0  10  0.002680
35    0  16  0.000049
35    0  17  0.001873
35    0  24  0.001279
35    0  30  0.000853
35    0  34  0.000550
36    0   0  0.002694
36    0   4  0.004168
36    0  10  0.003532
36    0  17  0.002919
36    0  24  0.002405
36    0  30  0.001993
36    0  34  0.001660
37    0   0  0.000990
37    0   1  0.000063
37    0   4  0.002089
37    0   5  0.000064
37    0  10  0.002209
37    0  11  0.000054
37    0  17  0.002167
37    0  24  0.002050
37    0  30  0.001846
37    0  34  0.001618
38    0   0  0.000050
38    0   1  0.000069
38    0   5  0.000076
38    0  11  0.000068
38    0  18  0.000060
38    0  25  0.000052
38    0  34  0.000088
39    0   0  0.000104
39    0   1  0.000120
39    0   4  0.000171
39    0   5  0.000132
39    0  10  0.000154
39    0  11  0.000118
39    0  17  0.000132
39    0  18  0.000104
39    0  24  0.000111
39    0  25  0.000089
39    0  30  0.000089
39    0  31  0.000077
39    0  34  0.000068
39    0  35  0.000067
40    0   0  0.000060
40    0   1  0.000181
40    0   4  0.000099
40    0   5  0.000169
40    0  10  0.000089
40    0  11  0.000122
40    0  17  0.000078
40    0  18  0.000081
40    0  24  0.000068
40    0  25  0.000051
40    0  30  0.000060
40    0  34  0.000053
41    0   4  0.000065
41    0   5  0.000220
41    0  10  0.000055
41    0  11  0.000463
41    0  17  0.000046
41    0  18  0.000674
41    0  25  0.000775
41    0  31  0.000813
41    0  35  0.000809
42    0   1  0.003687
42    0   4  0.000065
42    0   5  0.004015
42    0  10  0.000055
42    0  11  0.003459
42    0  17  0.000046
42    0  18  0.002882
42    0  25  0.002365
42    0  31  0.001959
42    0  35  0.001621
43    0   1  0.004015
43    0   5  0.004116
43    0  11  0.003459
43    0  12  0.000056
43    0  18  0.002882
43    0  19  0.000047
43    0  25  0.002310
43    0  31  0.001828
43    0  35  0.001436
44    0   1  0.001787
44    0   5  0.001360
44    0   6  0.000065
44    0  11  0.000774
44    0  12  0.000055
44    0  18  0.000357
44    0  19  0.000049
44    0  25  0.000129
44    0  26  0.000049
44    0  32  0.000047
45    0   1  0.000053
45    0   5  0.000087
45    0   6  0.000085
45    0  11  0.000100
45    0  12  0.000086
45    0  18  0.000104
45    0  19  0.000085
45    0  25  0.000097
45    0  26  0.000085
45    0  31  0.000086
45    0  32  0.000081
45    0  35  0.000076
45    0  36  0.000076
46    0   1  0.000161
46    0   2  0.000076
46    0   5  0.000156
46    0   6  0.000148
46    0  11  0.000124
46    0  12  0.000148
46    0  18  0.000098
46    0  19  0.000138
46    0  25  0.000076
46    0  26  0.000090
46    0  31  0.000060
46    0  35  0.000047
47    0   1  0.000093
47    0   2  0.000123
47    0   5  0.000090
47    0   6  0.000128
47    0  11  0.000072
47    0  18  0.000056
47    0  26  0.000307
47    0  32  0.000833
47    0  36  0.001146
48    0   1  0.000063
48    0   5  0.000064
48    0   6  0.000824
48    0  11  0.000054
48    0  12  0.001898
48    0  19  0.002538
48    0  26  0.002492
48    0  32  0.002066
48    0  36  0.001720
49    0   1  0.000050
49    0   2  0.002294
49    0   6  0.004175
49    0  12  0.003537
49    0  19  0.002974
49    0  26  0.002492
49    0  32  0.001941
49    0  36  0.001235
32    1   0  0.000122
32    1   3  0.000154
32    1   4  0.000158
32    1   9  0.000169
32    1  10  0.000109
32    1  16  0.000058
32    1  17  0.000074
32    1  24  0.000051
32    1  29  0.000795
33    1   3  0.000089
33    1   4  0.000085
33    1   9  0.000103
33    1  10  0.000153
33    1  16  0.000119
33    1  17  0.000127
33    1  23  0.000119
33    1  24  0.000089
33    1  30  0.000062
34    1   0  0.002015
34    1   3  0.000068
34    1   4  0.001423
34    1   9  0.000060
34    1  10  0.000082
34    1  16  0.000069
34    1  23  0.000074
34    1  24  0.000056
34    1  29  0.000082
34    1  30  0.000084
34    1  34  0.000074
35    1   0  0.002689
35    1   4  0.004155
35    1   9  0.000058
35    1  10  0.003318
35    1  16  0.000048
35    1  17  0.001844
35    1  24  0.000714
35    1  29  0.000047
35    1  30  0.000068
36    1   0  0.001707
36    1   1  0.000063
36    1   4  0.004028
36    1   5  0.000065
36    1  10  0.003519
36    1  17  0.002910
36    1  24  0.002386
36    1  30  0.001892
36    1  34  0.001181
37    1   1  0.000062
37    1   4  0.000199
37    1   5  0.000064
37    1  10  0.001391
37    1  11  0.000054
37    1  17  0.002184
37    1  24  0.002365
37    1  30  0.001981
37    1  34  0.001648
38    1   0  0.000117
